index,type,land_type,prefecture,city,city2,station_name,building_year,station_dis,price,price_per_tsubo,room,area,land_shape,frontage,gross_floor_area,building_type,city_plan,BCR,FAR
1,中古マンション等,,北海道,札幌市中央区,大通西,西１１丁目,2016,1,37000000,,３ＬＤＫ,75,,,,ＲＣ,商業地域,80,600
2,中古マンション等,,北海道,札幌市中央区,大通西,西１１丁目,2012,3,57000000,,２ＬＤＫ,75,,,,ＲＣ,商業地域,80,600
3,中古マンション等,,北海道,札幌市中央区,大通西,西１８丁目,1981,3,17000000,,２ＬＤＫ,50,,,,ＲＣ,商業地域,80,400
4,中古マンション等,,北海道,札幌市中央区,大通西,西１８丁目,1977,0,3200000,,１Ｒ,20,,,,ＳＲＣ,商業地域,80,400
5,中古マンション等,,北海道,札幌市中央区,大通西,西１８丁目,1989,2,17000000,,２ＬＤＫ,50,,,,ＳＲＣ,商業地域,80,400
6,中古マンション等,,北海道,札幌市中央区,大通西,円山公園,2015,2,64000000,,３ＬＤＫ,75,,,,ＲＣ,近隣商業地域,80,300
7,中古マンション等,,北海道,札幌市中央区,大通西,円山公園,1991,1,4200000,,１ＤＫ,20,,,,ＳＲＣ,近隣商業地域,80,300
8,中古マンション等,,北海道,札幌市中央区,大通西,円山公園,1985,3,12000000,,１ＤＫ,35,,,,ＳＲＣ,商業地域,80,400
9,中古マンション等,,北海道,札幌市中央区,大通西,円山公園,2014,5,49000000,,３ＬＤＫ,75,,,,ＲＣ,商業地域,80,400
10,中古マンション等,,北海道,札幌市中央区,大通東,バスセンター前,2019,4,36000000,,２ＬＤＫ,50,,,,ＲＣ,近隣商業地域,,
11,宅地(土地と建物),商業地,北海道,札幌市中央区,北１条西,西１８丁目,2016,4,420000000,,,400,長方形,18,990,鉄骨造,商業地域,80,400
12,中古マンション等,,北海道,札幌市中央区,北１条西,西１８丁目,1978,5,8000000,,１ＬＤＫ,50,,,,ＳＲＣ,商業地域,80,400
13,宅地(土地と建物),商業地,北海道,札幌市中央区,北２条西,さっぽろ(札幌市営),1962,3,3200000000,,,500,長方形,11,2000㎡以上,ＲＣ,商業地域,80,800
14,中古マンション等,,北海道,札幌市中央区,北２条東,苗穂,2007,6,22000000,,２ＬＤＫ,55,,,,ＲＣ,近隣商業地域,80,300
15,中古マンション等,,北海道,札幌市中央区,北２条東,苗穂,2009,6,30000000,,３ＬＤＫ,65,,,,ＲＣ,近隣商業地域,80,300
16,中古マンション等,,北海道,札幌市中央区,北２条東,バスセンター前,2017,6,42000000,,３ＬＤＫ,70,,,,ＲＣ,商業地域,80,600
17,宅地(土地と建物),住宅地,北海道,札幌市中央区,北３条西,西２８丁目,2009,11,130000000,,,250,ほぼ長方形,17,580,ＲＣ,第１種住居地域,60,200
18,中古マンション等,,北海道,札幌市中央区,北３条西,円山公園,1992,10,4000000,,１ＤＫ,30,,,,ＲＣ,第１種住居地域,60,200
19,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2021,0,43000000,,２ＤＫ,55,,,,ＲＣ,近隣商業地域,80,300
20,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,45000000,,２ＬＤＫ,70,,,,ＲＣ,近隣商業地域,80,300
21,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,28000000,,１ＬＤＫ,45,,,,ＲＣ,近隣商業地域,80,300
22,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,36000000,,２ＬＤＫ,60,,,,ＲＣ,近隣商業地域,80,300
23,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,34000000,,２ＬＤＫ,55,,,,ＲＣ,近隣商業地域,80,300
24,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,48000000,,３ＬＤＫ,75,,,,ＲＣ,近隣商業地域,80,300
25,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,41000000,,２ＬＤＫ,65,,,,ＲＣ,近隣商業地域,80,300
26,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,36000000,,２ＬＤＫ,60,,,,ＲＣ,近隣商業地域,80,300
27,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,46000000,,３ＬＤＫ,70,,,,ＲＣ,近隣商業地域,80,300
28,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,41000000,,２ＬＤＫ,65,,,,ＲＣ,近隣商業地域,80,300
29,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,48000000,,３ＬＤＫ,75,,,,ＲＣ,近隣商業地域,80,300
30,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,28000000,,１ＬＤＫ,45,,,,ＲＣ,近隣商業地域,80,300
31,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,56000000,,,80,,,,ＲＣ,近隣商業地域,80,300
32,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,45000000,,３ＬＤＫ,75,,,,ＲＣ,近隣商業地域,80,300
33,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,58000000,,３ＬＤＫ,70,,,,ＲＣ,近隣商業地域,80,300
34,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,36000000,,２ＬＤＫ,60,,,,ＲＣ,近隣商業地域,80,300
35,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,46000000,,３ＬＤＫ,75,,,,ＲＣ,近隣商業地域,80,300
36,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,48000000,,３ＬＤＫ,70,,,,ＲＣ,近隣商業地域,80,300
37,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,37000000,,,60,,,,ＲＣ,近隣商業地域,80,300
38,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,37000000,,２ＬＤＫ,60,,,,ＲＣ,近隣商業地域,80,300
39,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,47000000,,１ＬＤＫ,50,,,,ＲＣ,近隣商業地域,80,300
40,中古マンション等,,北海道,札幌市中央区,北３条東,苗穂,2022,1,35000000,,２ＬＤＫ,55,,,,ＲＣ,近隣商業地域,80,300
41,中古マンション等,,北海道,札幌市中央区,北３条東,バスセンター前,2019,6,36000000,,,60,,,,ＲＣ,近隣商業地域,80,300
43,中古マンション等,,北海道,札幌市中央区,北４条東,札幌(ＪＲ),2021,11,38000000,,２ＬＤＫ,45,,,,ＲＣ,近隣商業地域,80,300
44,中古マンション等,,北海道,札幌市中央区,北４条東,札幌(ＪＲ),2019,3,75000000,,２ＬＤＫ,75,,,,ＲＣ,商業地域,80,600
47,宅地(土地と建物),住宅地,北海道,札幌市中央区,北８条西,二十四軒,1983,6,58000000,,,280,不整形,27,185,木造,第１種住居地域,60,200
